period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,parent_metro_region_metro_code,last_updated,period_begin_in_years,period_end_in_years,period_begin_in_months,period_end_in_months
2024-04-01,2024-04-30,30,national,11,1400,t,National,U.S.,US,Townhouse,13,374191.777752349,381090.746121105,231.303127660044,235.077778996074,42943.3562448311,104767.961102376,2.52457924726004,35.1351518440102,0.995340838044773,0.3083834760576499,,2024-11-12 00:00:00,2024,2024,Apr,Apr
2019-05-01,2019-05-31,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,298997.76156428,313325.785913313,151.91889607586,155.699179174083,412320.221948328,1260894.43583712,3.06066402423035,45.2472656022549,0.979649971181163,0.228088270922816,,2024-11-12 00:00:00,2019,2019,May,May
2018-10-01,2018-10-31,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,245611.347894046,261608.08069444296,208.706682692454,226.118870291128,57382.161282228495,173632.111367416,3.17539792430128,39.3687588262687,0.9812045112637348,0.20213900725362,,2024-11-12 00:00:00,2018,2018,Oct,Oct
2020-04-01,2020-04-30,30,national,11,1400,t,National,U.S.,US,Townhouse,13,275146.7545382,281802.465949874,165.502718972347,171.397112629955,40851.3697346019,116945.803675491,3.02871859436053,36.1762112091978,0.987661969681909,0.2700713275149829,,2024-11-12 00:00:00,2020,2020,Apr,Apr
2020-04-01,2020-04-30,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,303988.0,319029.0,162.0,167.0,429507.0,1291631.0,3.0072404916717,36.0,0.9882329103188758,0.2839969201166467,,2024-11-12 14:08:32,2020,2020,Apr,Apr
2021-07-01,2021-07-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,384789.0,378857.0,208.0,206.0,662668.0,937134.0,1.4141836726522885,15.0,1.0232061731989084,0.5577760479746177,,2024-11-12 14:08:32,2021,2021,Jul,Jul
2023-09-01,2023-09-30,30,national,11,1400,f,National,U.S.,US,All Residential,-1,412012.0,425349.0,230.0,236.0,424051.0,1100030.0,2.594100139796712,33.0,0.995437016321332,0.3325550109601587,,2024-11-12 14:08:32,2023,2023,Sep,Sep
2013-10-01,2013-10-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,209914.0,214808.0,116.0,118.0,433567.0,1905980.0,4.396043924922327,60.0,0.9743677812841696,0.2122567560987712,,2024-11-12 14:08:32,2013,2013,Oct,Oct
2012-10-01,2012-10-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,191221.0,198239.0,100.0,103.0,328582.0,1520844.0,4.628497439411016,74.0,0.9699353572783092,0.2100361244098974,,2024-11-12 14:08:32,2012,2012,Oct,Oct
2022-01-01,2022-01-31,30,national,11,1400,f,National,U.S.,US,Single Units Only,-2,377576.0,400134.0,212.0,224.0,403993.0,603200.0,1.493095203788268,27.0,1.0046189217384427,0.4259119946898926,,2024-11-12 14:08:32,2022,2022,Jan,Jan
2021-01-01,2021-01-31,30,national,11,1400,f,National,U.S.,US,Single Family Residential,6,344241.0,359987.0,176.0,184.0,328274.0,534971.0,1.629646445719494,33.0,0.9954175546082932,0.3558223715388796,,2024-11-12 14:08:32,2021,2021,Jan,Jan
2021-12-01,2021-12-31,30,national,11,1400,f,National,U.S.,US,Condo/Co-op,3,312847.0,305773.0,280.0,280.0,65455.0,89382.0,1.3655556540549516,31.0,0.996895561532807,0.3361562490691305,,2024-11-12 14:08:32,2021,2021,Dec,Dec
